DATE,MCOILBRENTEU
2019-01-01,59.41
2019-02-01,63.96
2019-03-01,66.14
2019-04-01,71.23
2019-05-01,71.32
2019-06-01,64.22
2019-07-01,63.92
2019-08-01,59.04
2019-09-01,62.83
2019-10-01,59.71
2019-11-01,63.21
2019-12-01,67.31
2020-01-01,63.83
